co_code,co_name
6,ACC
9,Aegis Logistics
17,Amrutanjan Healt
19,Andhra Cements
20,Internat. Paper
23,Apollo Tyres
29,Arvind Ltd
31,Ashok Leyland
33,Asian Hotels (N)
34,Asian Paints
35,Assam CO. (I)
37,SKF India
39,Astrazeneca Phar
42,Atlas Cycles
43,Atul
50,Bajaj Holdings
51,Bajaj Electrical
55,Balkrishna Inds
56,Ballarpur Inds.
57,Bannari Amm.Sug.
59,BASF India
60,Bata India
62,Bayer Crop Sci.
64,Berger Paints
68,Bharat Bijlee
69,Bharat Forge
70,Bharat Gears
72,Sintex Inds.
77,Birla Corpn.
78,Birla Power Sol.
79,Bliss GVS Pharma
81,Blue Blends (I)
82,Blue Star
84,Bombay Burmah
85,Bombay Dyeing
88,Reliance Infra.
90,Abbott India
93,Britannia Inds.
99,CESC
102,Graphite India
103,Carborundum Uni.
104,CEAT
105,ITD Cem
106,Century Enka
107,Century Textiles
111,Exide Inds.
114,Cipla
116,Clutch Auto
117,DIC India
118,Colgate-Palm.
119,Clariant Chemica
121,Tata Coffee
123,Coromandel Inter
124,Cosmo Films
125,Crompton Greaves
128,DCM
131,Dalmia Bharat
134,Deccan Cements
135,Deepak Fert.
136,Deepak Nitrite
141,DCW
148,EID Parry
149,Merck
150,EIH
151,Eicher Motors
152,Elecon Engg.Co
154,Electrost.Cast.
155,Elgi Equipment
159,GE T&D India
160,Hinduja Foundrie
161,Escorts
164,Essel Propack
165,Everest Inds.
166,Excel Inds.
171,Finolex Cables
172,First Leasing Co
175,Nestle India
180,GKW
183,Delta Magnets
184,Gabriel India
186,Gammon India
190,Garware-Wall Rop
195,Glaxosmit Pharma
196,Goa Carbon
197,Federal-Mogul Go
200,Kansai Nerolac
204,Saregama India
207,GE Shipping Co
208,Greaves Cotton
209,Grindwell Norton
210,Golden Tobacco
213,G N F C
214,Setco Automotive
217,Guj Alkalies
218,Ambuja Cem.
226,G S F C
227,Grasim Inds
230,H D F C
231,GlaxoSmith C H L
233,Harri. Malayalam
237,Hero Motocorp
242,A B B
245,Hind.Construct.
246,Hind.Dorr-Oliver
247,Hind.Motors
249,Bajaj Hindusthan
250,HSIL
251,HEG
252,Hindalco Inds.
253,Hind.Composites
255,Hind. Unilever
256,Sanofi India
257,Hotel Leela Ven.
259,Hil Ltd
262,Zensar Tech.
265,GOCL Corpn.
266,Akzo Nobel
270,India Cements
278,Indian CardCloth
281,IFB Inds.
282,Indian Hotels
283,Indian Hume Pipe
284,Linde India
285,Aditya Bir. Nuv.
288,Gillette India
292,Castrol India
295,Ingersoll-Rand
298,Tata Inv.Corpn.
300,Tata Sponge Iron
301,ITC
302,IVP
303,J B Chem & Pharm
304,JK Tyre & Indust
311,Jay Shree Tea
312,Jenson & Nich.
316,K C P
322,Kalyani Steels
328,Whirlpool India
329,Kesoram Inds.
330,Khaitan Elect.
336,Kirl. Brothers
337,Cummins India
341,Kothari Sugars
342,KSB Pumps
345,Trent
346,Lak. Mach. Works
347,Lak. Prec. Screw
348,Larsen & Toubro
351,LML
355,Manugraph India
357,The Ramco Cement
363,Mah. Scooters
365,M & M
367,Mangalam Cement
368,Mangalore Chem.
372,Max Financial
378,Bosch
384,Modern Insulator
387,Modi Rubber
390,Peninsula Land
391,MRF
392,Mukand
396,Heidelberg Cem.
401,NCL Inds.
410,NELCO
412,Piramal Enterp.
415,NOCIL
419,Orient Abrasives
420,Orient Paper
421,Oriental Hotels
422,OCL India
425,Oswal Agro Mills
434,Pfizer
435,Phillips Carbon
444,Prakash Inds.
445,Surya Roshni
446,Fag Bearings
447,Premier
450,Pressman Adv.
453,Pudumjee Pulp
457,Punjab Chemicals
465,Rallis India
470,Rane Holdings
474,Raymond
476,Reliance Inds.
478,Revathi Equipmnt
480,P & G Hygiene
484,Rollatainers
502,Vedanta
503,Seshasayee Paper
505,Shalimar Paints
508,Shree Cement
513,SRF
514,Siemens
515,Sirpur Paper
516,Siyaram Silk
519,Somany Ceramics
525,S P I C
526,TVS Srichakra
529,Standard Inds.
533,Steel Tubes (I)
535,JK Lakshmi Cem.
536,Kitply Inds.
537,Sundaram Brake
538,Sundaram Clayton
539,Sundram Fasten.
540,Sundaram Finance
541,Supreme Inds.
544,SML ISUZU
549,Talbros Auto.
552,Tata Chemicals
554,Tata Power Co.
555,Infomedia Press
556,TRF
557,Tata Global
560,Tata Motors
562,Texmaco Infrast.
563,Thirumalai Chem.
564,Thomas Cook (I)
565,Tinplate Co.
566,Tata Steel
569,TIL
573,Tube Investments
577,Unichem Labs.
578,Eveready Inds.
580,U B Holdings
587,Universal Cables
592,Jubilant Life
597,Voltas
598,VST Inds.
600,UB Engg.
601,W S Inds.
602,Walchan. Inds.
606,Wendt India
607,West Coast Paper
609,Wheels India
611,Willard India
614,Wipro
618,XPRO India
620,Zenith Birla
621,Zuari Global
622,Automotive Axles
623,Malwa Cotton Spg
632,Alembic
633,Alkyl Amines
636,Apollo Hospitals
641,Oswal Green Tech
644,Cimmco
651,Dynamatic Tech.
655,Global Offshore
657,Godfrey Phillips
667,Indo National
670,Nalwa Sons Invst
672,JBF Inds.
677,Lyka Labs
683,Modern Denim
688,NRC
690,NESCO
694,Oudh Sugar Mills
695,Marathon Nextgen
700,RSWM Ltd
702,Rico Auto Inds
704,Ruchi Soya Inds.
720,V I P Inds.
722,Vindhya Telelink
732,Balmer Lawrie
737,Dhunseri Petro.
743,Kanoria Chem.
745,Williamson Magor
751,McNally Bharat
755,Oriental Carbon
765,Upper Gang. Sug.
770,Peria Kara. Tea
771,Sakthi Sugars
780,TTK Healthcare
782,Lumax Inds.
798,Varun Ship. Co.
799,Ador Welding
805,Oricon Enter.
807,Mangalam Timber
808,Sudarshan Chem.
809,Windsor Machines
810,Uniphos Enter.
815,Dr Reddy's Labs
820,Uttam Value Ste.
825,BSL
830,Rajas. Petro Syn
831,Regency Ceramics
840,IFB Agro Inds.
842,Himatsing. Seide
848,T N Petro Prod.
866,INEOS Styrolut.
897,Gandhi Spl. Tube
922,Kesar Enterprise
927,Twilight Litaka
932,Vardhman Textile
941,Munjal Showa
942,Nahar Spinning
955,Rain Industries
965,Jindal Saw
968,Shanthi Gears
974,STI India
976,Winsome Diamonds
979,Tainwala Chem.
983,Vardhman Hold.
986,Unitech
991,Banco Products
992,Natl. Steel&Agro
998,Zandu Realty
1000,Sagar Cements
1016,Titan Company
1019,HCL Infosystems
1022,Garden Silk Mill
1024,Asahi India Glas
1026,GHCL
1028,Honda Siel Power
1035,Nicco Corpn.
1052,Visaka Inds.
1054,Sona Koyo Steer.
1056,Polyplex Corpn
1057,Uttam Galva
1058,Ester Inds.
1062,JCT Electronics
1065,Sunflag Iron
1066,Murudesh Ceramic
1071,Kirloskar Indus.
1074,Guj. Sidhee Cem.
1075,Munjal Auto Inds
1076,Usha Martin
1079,AGC Networks
1082,Classic Diamonds
1083,Samtel Color
1093,Aban Offshore
1095,EIH Assoc.Hotels
1097,Kokuyo Camlin
1102,The Hi-Tech Gear
1105,India Glycols
1106,Huhtamaki PPL
1119,Pennar Inds.
1121,Subros
1127,Jain Irrigation
1128,Guj Fluorochem
1129,Kajaria Ceramics
1131,Honeywell Auto
1140,Sarda Energy
1147,Esab India
1149,Jamna Auto Inds.
1150,Jay Bharat Mar.
1165,Monsanto India
1167,Value Industries
1180,Shrenuj & Co.
1186,Nahar Indl. Ent.
1189,H F C L
1190,Oil Country
1196,Jyoti Structures
1208,Eurotex Inds.
1210,Modern Terry Tow
1214,Bhansali Engg.
1215,Pearl Polymers
1216,Chemfab Alkalis
1220,Indo Rama Synth.
1223,Can Fin Homes
1224,Vinyl Chemicals
1225,Dharani Sugars
1227,Kabra Extrusion
1250,Venky's (India)
1252,Finolex Inds.
1254,Albert David
1255,Amtek Auto
1258,Shiva Texyarn
1259,Ansal Housing
1287,Hind Syntex
1291,Jindal Drilling
1305,Lloyds Finance
1310,Modern Syntex
1313,Moser Baer (I)
1318,Omax Autos
1320,Patel Engg.
1321,Polar Inds.
1322,PTL Enterprises
1338,Steel Str. Wheel
1344,Swaraj Engines
1358,Weizmann
1369,Man Inds.
1375,St Bk of India
1389,Autolite (I)
1393,ORG Informatics
1394,Shreyans Inds.
1419,ICDS
1436,Rajshree Sugars
1437,Ruby Mills
1467,Advani Hotels.
1470,Hind Rectifiers
1474,Uflex
1514,Ucal Fuel Sys.
1520,Spice Mobility
1524,Vadilal Inds.
1538,Anant Raj
1559,Harita Seating
1572,Jai Corp
1590,Geodesic
1610,Sical Logistics
1623,Sujana Univ. Ind
1627,Navneet Educat.
1693,Good Value Mktg
1706,Superhouse Ltd
1710,IL&FS Inv.Manag.
1725,Hind.Oil Explor.
1729,PAE
1736,Suman Motels
1741,Century Extrus.
1742,Godrej Inds.
1745,Shriram Trans.
1765,T T
1774,Dhanuka Agritech
1781,Kirl. Electric
1783,Super Forgings
1792,Manali Petrochem
1809,Asian Electronic
1813,GRP
1814,Dewan Hsg. Fin.
1840,AVT Natural Prod
1846,Ginni Filaments
1861,Kakatiya Cement
1866,Reliance Capital
1878,Thiru Aroor. Su.
1889,Salzer Electron.
1896,Sterling Biotech
1903,Precot Meridian
1905,Super Spinning
1907,India Nipp.Elec.
1908,Pricol
1909,Rolta India
1926,Ramco Inds.
1927,L G Balakrishnan
1938,Motor & Gen Fin
1941,United Nilgiri
1945,India Motor Part
1952,Suryalak. Cott.
1957,Ruchi Infrastr.
1960,Indo Count Inds.
1967,Guj. Lease Fin.
1971,Spanco Ltd
1973,IOL Chemicals
1975,Hercules Hoists
1988,DE Nora India
2004,Arshiya
2006,AYM Syntex
2035,Apar Inds.
2036,Orient Bell
2039,Donear Inds.
2053,Nova Electro
2060,Maha Rashtra Apx
2061,Nilkamal Ltd
2074,Nahar Poly
2075,TECIL Chemical
2086,Sequent Scien.
2096,3M India
2100,Johnson Con. Hit
2105,HB Stockholdings
2110,Amara Raja Batt.
2113,JM Financial
2117,Swan Energy
2129,T N Telecom.
2141,EMCO
2146,Agro Tech Foods.
2153,Radico Khaitan
2163,Cholaman.Inv.&Fn
2165,Star Paper Mills
2168,S & S Power Swit
2171,Jagsonpal Pharma
2174,NEPC India
2191,Mah. Seamless
2195,Rel. Indl. Infra
2198,Maral Overseas
2202,I G Petrochems
2208,Balrampur Chini
2216,High Ground
2226,Timken India
2227,Welspun India
2247,Vinati Organics
2259,Andhra Sugars
2278,Ganesha Ecosphe.
2285,Gufic BioScience
2290,B P C L
2292,MMTC
2293,M T N L
2294,BEML Ltd
2295,Tata Comm
2297,R C F
2298,Bharat Electron
2299,S A I L
2300,S T C
2301,F A C T
2302,Hind.Organ.Chem.
2303,NLC India
2304,Natl. Aluminium
2305,H P C L
2306,B H E L
2307,Hind.Zinc
2322,Tata Elxsi
2323,HMT
2329,Bhagyanagar Ind
2330,Kotak Mah. Bank
2334,ITI
2335,Dredging Corpn.
2337,DCM Shriram
2338,Mawana Sugars
2339,C P C L
2347,S C I
2356,Metalyst Forg.
2362,Autoriders Fin.
2370,Rainbow Papers
2371,Genesys Intl.
2378,Aarti Inds.
2381,IFGL Refractor
2385,Binani Inds
2386,Ausom Enter.
2393,Wanbury
2395,Grand Foundry
2396,Suryajyoti Spg.
2400,Prec. Wires (I)
2401,HBL Power System
2404,Ajmera Realty
2410,Arcotech Ltd
2412,Khaitan (India)
2415,Gillanders Arbut
2416,ADF Foods
2437,NEPC Agro Foods
2439,GTL
2447,Easun Reyrolle
2461,UPL
2467,Future Enterp.
2469,Guj. Ambuja Exp
2496,M R P L
2521,Madhav Marbles
2531,VST Till. Tract.
2547,Kingfa Science
2555,Parrys Sugar
2576,Naga Dhunseri
2598,NCC
2603,Nakoda
2626,Dhampur Sugar
2631,KDDL Ltd
2638,Plastiblends (I)
2642,GRUH Finance
2650,P I Inds.
2671,Indl. Inv. Trust
2685,Morepen Labs.
2705,Sumeet Inds.
2706,Apcotex Industri
2712,Phoenix Lamps
2717,Kopran
2718,Guj Inds. Power
2720,Lak. Vilas Bank
2722,Karur Vysya Bank
2732,Mastek
2747,Eimco Elecon(I)
2765,Vijay Shan. Bui.
2769,Ashiana Housing
2771,NIIT
2773,Ramgopal Polytex
2777,Bharat Rasayan
2779,Cons. Finvest
2780,Himadri Specialt
2787,SREI Infra. Fin.
2794,ESI
2796,GTN Industries
2805,MIRC Electronics
2806,Infosys
2817,Pil Italica
2820,Ansal Properties
2825,Information Tech
2831,Sangam India
2838,Mazda
2846,Tide Water Oil
2848,VLS Finance
2852,Viceroy Hotels
2879,Indo Biotech
2893,Guj. Raffia Inds
2896,Menon Bearings
2897,Simplex Infra
2900,Vardhman Polytex
2912,CMI
2915,Jayant Agro Org.
2955,D S Kulkarni Dev
2966,Motherson Sumi
2970,Trident
2975,Aarti Drugs
2986,Tata Metaliks
2987,Modern Malleable
2990,Banswara Syntex
2996,Soma Textiles
2997,Shah Alloys
3007,Salora Intl.
3010,Kemrock Inds.
3019,TCI Finance
3021,Cubex Tubings
3026,Lupin
3029,Chambal Fert.
3041,Monnet Ispat
3046,Namaste Exports
3049,Shri Lakshmi
3058,Ashima
3088,Sujana Metal Prd
3099,Sathavaha. Ispat
3100,Aarvee Denims
3111,Ashapura Minech.
3118,Alok Inds.
3124,Ratnamani Metals
3126,Zee Entertainmen
3129,Atcom Technolog
3135,Orchid Pharma
3139,JVL Agro Indus
3140,Bodal Chemicals
3148,IFCI
3169,Bhushan Steel
3173,Sanwaria Agro
3175,Amit Spinning
3179,Birla Cable
3187,S Kumars Nation
3188,Pion. Embroider.
3196,Vesuvius India
3210,Mindteck (India)
3219,Pidilite Inds.
3225,Diamond Power
3226,K S Oils
3231,Vimta Labs
3240,G M Breweries
3243,Spentex Inds.
3250,Hitech Plast
3264,Filatex India
3265,CRISIL
3266,Videocon Inds.
3270,Agro Dutch Inds.
3272,Havells India
3282,Mold-Tek Technol
3284,Biofil Chemicals
3285,Marksans Pharma
3304,Mercator
3313,SVOGL Oil
3315,Prem. Explosives
3317,Foseco India
3319,Control Print
3325,Patspin India
3335,KND Engg.Techno.
3348,SPML Infra
3349,Orient Press
3356,Rana Sugars
3361,MphasiS
3382,Emtex Inds(I)
3388,Tilaknagar Inds.
3392,Dabur India
3420,Crest Ventures
3446,Ganesh Housing
3450,Igarashi Motors
3453,Nagreeka Exports
3458,Praj Inds.
3464,Kalyani Forge
3465,Symphony
3469,Zenith Exports
3487,Murli Industries
3497,Pitti Lamination
3505,Winsome Yarns
3526,Patel Integrated
3528,ATN Intl.
3537,Kohinoor Foods
3538,Premier Polyfilm
3546,Vakrangee
3559,Alphageo (India)
3598,SPL Inds.
3608,Supreme Petroch.
3609,Mahamaya Steel
3613,Guj Apollo Inds
3616,Torrent Pharma.
3617,Ipca Labs.
3624,Automotive Stamp
3630,Kilitch Drugs
3673,Shyam Telecom
3697,Krebs Biochem
3704,Anik Industries
3708,Indbank Merchant
3709,Federal Bank
3715,Mavi Industries
3720,BPL
3722,Bajaj Fin.
3750,Valecha Eng.
3780,Nava Bharat Vent
3782,Vimal Oil Foods
3800,Neuland Labs.
3809,Arrow Greentech
3812,Dynachem Pharma
3825,M M Forgings
3826,Poddar Pigments
3828,Girdhari.Sugar
3840,Safire Global Me
3852,Avanti Feeds
3885,Srikalahas. Pip.
3888,R S Software (I)
3896,Guj NRE Coke
3897,Surana Inds.
3898,Hind.Copper
3899,Butterfly Gan Ap
3924,Sanghi Inds.
3929,Inox Air Product
3930,Zodiac Cloth. Co
3954,Mayur Uniquote
3977,Vishnu Chemicals
3985,Country Club Hos
3993,Pearl Engg. Poly
3996,Zodiac-JRD MKJ
4018,Pan India Corpor
4019,Fedders Lloyd
4031,Gangotri Textile
4042,Prime Securities
4050,Techindia Nirman
4093,Hinduja Ventures
4101,Umang Dairies
4123,Ind-Swift
4138,Keynote Corp.
4141,Pudumjee Industr
4144,N K Inds.
4149,Savita Oil Tech
4150,TPL Plastech
4154,Liberty Shoes
4157,Times Guaranty
4159,Tokyo Plast Intl
4162,Jindal Poly Film
4164,Hester Bios
4169,Electrotherm(I)
4177,Blue Dart Exp.
4196,Krishna Engg.
4230,NEPC Textiles
4231,Kalindee Rail
4244,Adani Enterp.
4248,LIC Housing Fin.
4257,Som Distilleries
4259,Norben Tea
4261,Dolphin Offshore
4269,Mirza Internatio
4275,Parenteral Drugs
4301,TTK Prestige
4317,Tour. Fin. Corp.
4318,Oriental Bank
4320,Websol Energy
4325,Sun Pharma.Inds.
4335,Lloyd Electric
4338,JMT Auto
4353,JMC Projects
4354,Kamat Hotels
4368,DSJ Communicatn
4374,Shree Rama News.
4378,DCM Financial
4387,Hotel Rugby
4389,Hybrid Financial
4395,Rajdarshan Inds
4401,Hikal
4406,JIK Inds.
4416,Surana Telecom
4418,Bhartiya Intl.
4439,Heritage Foods
4441,Shreyas Shipping
4446,Damodar Indust.
4452,Pruden. Sugar
4464,Caplin Point Lab
4469,Onward Technolog
4472,Astra Microwave
4476,Sambhaav Media
4488,Centum Electron
4496,Nivyah Infra.
4498,Antarctica
4502,Alchemist
4506,Jayaswal Neco
4518,Kalpataru Power
4524,Orbit Exports
4537,Sandesh
4545,Goldiam Intl.
4552,PVP Ventures
4580,GIC Housing Fin
4584,Trigyn Techno.
4593,Ashco Niulab Ind
4620,IMP Powers
4621,Kitex Garments
4640,Hind.Natl.Glass
4662,Vipul Ltd
4664,Paras Petrofils
4666,Aurobindo Pharma
4674,Crest Animation
4675,Eastern Sugar
4679,KEI Inds.
4684,Natco Pharma
4699,Panama Petrochem
4701,Greenply Inds.
4702,PSL
4704,Bal Pharma
4719,Aro Granite Inds
4724,Muthoot Cap.Serv
4727,Prism Cement
4734,Banaras Beads
4756,63 Moons Tech.
4760,SEAMEC Ltd
4761,Sarla Performanc
4764,JSW Steel
4767,Thermax
4770,21st Cent. Mgmt.
4791,Venus Remedies
4819,Rai S R Mohota
4820,Sanghvi Movers
4822,Selan Expl. Tech
4846,Adi Finechem
4879,Chromatic India
4895,Themis Medicare
4907,CCL Products
4916,Suven Life Scie.
4926,Era Infra Engg.
4936,Kothari Products
4939,La Opala RG
4962,Genus Power
4974,Kellton Tech
4987,HDFC Bank
4992,NRB Bearings
4993,DB Intl.Stock
4994,Petron Engg
5014,Ugar Sugar Works
5020,Goodluck Steel
5023,Magma Fincorp
5031,Shilpa Medicare
5056,Relaxo Footwear
5068,Noesis Industrie
5076,GEI Industrial
5110,Sterling Tools
5114,Natl. Wind Power
5120,ANG Inds
5128,Raj Rayon Inds.
5129,Aftek
5135,Alps Inds.
5155,Paramount Comm.
5178,Nila Infrastruct
5184,Netvista Inform
5185,Cupid
5200,Lakshmi Energy
5247,Bhageria Indust.
5266,Remsons Inds.
5288,Balaji Amines
5312,GSL Nova Petro.
5324,Kwality
5369,Om Metals Infrap
5374,ECE Inds.
5375,Sil Business
5400,TCS
5418,ICICI Bank
5433,IDBI Bank
5445,Corporation Bank
5452,Oil India
5455,Power Grid Corpn
5456,Bank of Baroda
5471,Canara Bank
5475,UCO Bank
5481,United Bank (I)
5492,Cox & Kings
5493,Union Bank (I)
5496,Maruti Suzuki
5498,Shriram Pistons
5516,Shri Matre
5521,S B T
5523,Dhanlaxmi Bank
5531,IndusInd Bank
5533,Dena Bank
5539,Central Bank
5553,Alankit
5554,Axis Bank
5571,Sphere Global
5586,Jet Airways
5600,Surana Corp.
5607,Bank of Maha
5611,Elder Pharma
5638,Syndicate Bank
5654,Bank of India
5656,HCL Technologies
5675,Allahabad Bank
5704,Madras Fert.
5745,Rossell India
5772,JK Paper
5807,Indian Metals
5814,Pun. & Sind Bank
5834,Pilani Invest.
5859,Andhra Bank
5860,Karnataka Bank
5895,Cranes Software
5926,ICSA (India)
5947,St Bk of Mysore
5951,Alicon Cast.
5954,IVRCL
5955,I O B
5961,St Bk of Bikaner
5982,RBL Bank
5991,KRBL
6025,Vijaya Bank
6045,Suprajit Engg.
6061,Indian Bank
6064,Geojit BNP
6068,O N G C
6070,Arman Financial
6083,Manappuram Fin.
6103,Beardsell
6113,Sri Adhik. Bros.
6127,Vikas Ecotech
6159,Nucleus Soft.
6263,South Ind.Bank
6279,Country Condo
6285,Lak. Fin. & Indl
6367,Zydus Wellness
6418,Phoenix Mills
6423,Emami
6454,The Byke Hospi.
6463,Gemini Comm.
6481,Jullundur Motor
