pair,shape,min_date,max_date,total_days,no_of_trades,volume_traded,total_turnover,avg_price_of_unit_volume,avg_daily_trades
ETH_SAN,"(500, 10)",2017-08-18 06:37:21,2017-11-02 14:44:32,76,500,572484.727259,729.86290772,0.000986784856944,6
ETH_NXX,"(500, 10)",2017-08-20 03:55:41,2017-11-02 13:39:47,74,500,4175279.76431,114.344712121,2.85751131545e-05,6
ETH_BAS,"(500, 10)",2017-08-21 09:46:06,2017-11-02 07:21:44,72,500,196543.013526,107.435946731,0.000353289598458,6
ETH_MyB,"(500, 10)",2017-08-22 13:01:09,2017-11-02 13:21:06,72,500,30742.2228148,252.641329316,0.00759782904272,6
ETH_OAX,"(500, 10)",2017-08-26 15:16:09,2017-11-02 00:43:23,67,500,183933.7516,341.466300701,0.00194395009393,7
ETH_STORJ,"(500, 10)",2017-08-26 12:35:50,2017-11-02 11:55:54,67,500,113005.784917,202.154445553,0.00196739544236,7
ETH_BRAT,"(500, 10)",2017-08-28 21:13:34,2017-11-02 09:32:06,65,500,12003707.2275,21.2563532914,1.46272749052e-06,7
ETH_ECN,"(500, 10)",2017-09-04 06:11:13,2017-11-02 10:14:49,59,500,147831.34,987.392472915,0.00683523207976,8
ETH_BLX,"(500, 10)",2017-09-04 13:43:41,2017-11-02 10:49:09,58,500,124710.149286,637.595014267,0.00495069009492,8
ETH_ETBS,"(500, 10)",2017-09-06 19:10:22,2017-11-02 12:57:44,56,500,47420.8101112,233.675002741,0.00388095536126,8
ETH_ICN,"(500, 10)",2017-09-09 06:29:49,2017-11-02 11:55:33,54,500,53822.5359936,273.820981532,0.00461888862863,9
ETH_FC,"(500, 10)",2017-09-13 21:45:06,2017-11-02 11:00:16,49,500,2066967.13,183.38934725,7.41942579865e-05,10
ETH_BET,"(500, 10)",2017-09-14 21:07:15,2017-11-02 07:38:20,48,500,2693860.32937,600.951992365,0.00020415135079,10
ETH_SKIN,"(500, 10)",2017-09-14 14:52:28,2017-11-02 09:55:51,48,500,2585921.0587,120.736650316,5.12984646932e-05,10
ETH_REX,"(500, 10)",2017-09-18 20:09:29,2017-11-02 14:32:34,44,500,439967.025497,374.893012745,0.000745991457436,11
ETH_TFL,"(500, 10)",2017-09-20 10:01:18,2017-11-02 15:34:25,43,500,141338.378132,367.801916897,0.0024815759199,11
ETH_MBRS,"(500, 10)",2017-09-21 06:50:03,2017-11-02 12:24:56,42,500,3734784.0,516.8949999,0.000160231456199,11
ETH_0x08d3,"(500, 10)",2017-09-21 19:04:54,2017-11-02 11:08:15,41,500,436506082.0,178.889800992,4.20499992917e-07,12
ETH_MCO,"(500, 10)",2017-09-22 05:04:08,2017-11-02 14:29:43,41,500,14922.4696115,412.540583682,0.0271511388232,12
ETH_WILD,"(500, 10)",2017-09-22 20:00:52,2017-11-02 16:02:16,40,500,1128524.61005,365.118366606,0.000306099447906,12
ETH_BNB,"(500, 10)",2017-09-25 16:31:51,2017-11-02 08:01:42,37,500,67052.9842042,357.807810985,0.00457156651486,13
ETH_IFT,"(500, 10)",2017-09-30 23:44:23,2017-11-02 14:19:50,32,500,3348433.97068,496.919038374,0.000194821340026,15
ETH_FUCK,"(500, 10)",2017-10-04 03:47:11,2017-11-02 13:15:20,29,500,2929894.4736,279.648001405,7.20219112381e-05,17
ETH_IND,"(500, 10)",2017-10-04 09:57:17,2017-11-02 14:22:26,29,500,715428.641279,177.811189002,0.000210832269057,17
ETH_BTM,"(500, 10)",2017-10-05 13:30:44,2017-11-02 13:53:29,28,500,1770175.25664,485.59673644,0.000275281336088,17
ETH_CSNO,"(500, 10)",2017-10-04 17:34:42,2017-11-02 12:29:30,28,500,1281323.83006,712.114077455,0.000587175323508,17
ETH_SONM,"(500, 10)",2017-10-04 19:40:23,2017-11-02 15:13:36,28,500,763724.925367,306.836042351,0.000332606331923,17
ETH_CNX,"(500, 10)",2017-10-05 00:11:27,2017-11-02 08:59:40,28,500,369124.37728,62.3161329015,0.000146988733573,17
ETH_STX,"(500, 10)",2017-10-05 06:33:59,2017-11-02 15:30:23,28,500,277228.701625,683.075625657,0.00199845744502,17
ETH_TKR,"(500, 10)",2017-10-05 21:49:40,2017-11-02 10:34:14,27,500,762890.198311,258.965174476,0.000343846568724,18
ETH_ELIX,"(500, 10)",2017-10-05 19:38:40,2017-11-02 10:25:57,27,500,662222.308585,207.561962313,0.000266673896135,18
ETH_OPT,"(500, 10)",2017-10-07 07:10:10,2017-11-02 16:23:44,26,500,3995230.22588,293.778043369,7.88860161459e-05,19
ETH_EBET,"(500, 10)",2017-10-07 08:50:12,2017-11-02 10:02:51,26,500,558776.95,312.240931984,0.000375540586699,19
ETH_BAT,"(500, 10)",2017-10-07 02:19:54,2017-11-02 14:40:52,26,500,502594.277939,269.313296496,0.000525917933076,19
ETH_NTC,"(500, 10)",2017-10-07 04:18:37,2017-11-02 13:04:45,26,500,32944.331338,244.15851159,0.00630479471752,19
ETH_CDT,"(500, 10)",2017-10-07 20:42:45,2017-11-02 15:12:27,25,500,2954183.22235,328.850651857,0.000109855881386,20
ETH_VOISE,"(500, 10)",2017-10-09 04:32:01,2017-11-02 15:56:05,24,500,3286759.70954,241.009329023,5.27712645424e-05,20
ETH_ELTC3,"(500, 10)",2017-10-11 03:45:28,2017-11-02 10:29:27,22,500,17781347.8361,14.6197117505,5.91932103422e-07,22
ETH_MDA,"(500, 10)",2017-10-11 07:15:59,2017-11-02 13:47:00,22,500,163042.596142,775.465995682,0.00463459512881,22
ETH_SNT,"(500, 10)",2017-10-13 00:58:54,2017-11-02 17:43:43,20,500,2617998.02778,303.099550631,0.000123572984615,25
ETH_TIX,"(500, 10)",2017-10-12 08:52:27,2017-11-02 08:28:49,20,500,636622.375738,620.974421004,0.000858954200305,25
ETH_AE,"(500, 10)",2017-10-13 03:07:55,2017-11-02 12:52:02,20,500,621300.552958,549.998828836,0.000837610566984,25
ETH_WTT,"(500, 10)",2017-10-13 00:02:40,2017-11-02 09:11:06,20,500,237053.0,1251.23861169,0.00521460254068,25
ETH_MANA,"(500, 10)",2017-10-14 14:54:34,2017-11-02 15:10:42,19,500,6864773.88867,262.414054105,3.61916943694e-05,26
ETH_ELTC2,"(500, 10)",2017-10-14 21:48:08,2017-11-02 13:57:04,18,500,13150335.1336,11.6309042117,6.57459472043e-07,27
ETH_DLT,"(500, 10)",2017-10-15 13:31:16,2017-11-02 13:50:13,18,500,686343.35527,349.448226357,0.000490746414621,27
ETH_PRO,"(500, 10)",2017-10-15 13:18:56,2017-11-02 14:20:28,18,500,348046.915683,356.123109472,0.000981511218676,27
ETH_POE,"(500, 10)",2017-10-16 03:09:33,2017-11-02 13:54:01,17,500,26390208.5235,457.823497262,1.68002258547e-05,29
ETH_CVC,"(500, 10)",2017-10-16 12:53:58,2017-11-02 16:07:29,17,500,239767.54508,268.144308301,0.00109491408487,29
ETH_PIX,"(500, 10)",2017-10-17 04:14:11,2017-11-02 13:37:55,16,500,2594125.0,503.369522477,0.000185458617668,31
ETH_IXT,"(500, 10)",2017-10-16 17:33:49,2017-11-02 11:55:33,16,500,786854.293448,493.62773728,0.000646630848544,31
ETH_AVT,"(500, 10)",2017-10-17 00:35:49,2017-11-02 14:39:10,16,500,146063.407171,1410.97905404,0.00866588896922,31
ETH_FUN,"(500, 10)",2017-10-18 12:15:20,2017-11-02 17:22:14,15,500,15839592.3364,916.071271473,5.64201341426e-05,33
ETH_EXN,"(500, 10)",2017-10-18 05:26:30,2017-11-02 13:03:40,15,500,2803458.94637,215.671882809,6.7207581598e-05,33
ETH_RHOC,"(500, 10)",2017-10-18 08:38:09,2017-11-02 15:30:07,15,500,2435756.63589,1250.41169665,0.000528331748591,33
ETH_FLIK,"(500, 10)",2017-10-17 17:43:33,2017-11-02 11:04:12,15,500,545982.404481,159.902893198,0.000238091704289,33
ETH_DICE,"(500, 10)",2017-10-18 13:33:36,2017-11-02 15:13:29,15,500,80047.4717809,850.870612918,0.00995456414348,33
ETH_DENT,"(500, 10)",2017-10-19 11:27:39,2017-11-02 13:58:31,14,500,226518153.711,265.135563674,1.1446568322e-06,35
ETH_CREDO,"(500, 10)",2017-10-19 09:48:35,2017-11-02 13:42:33,14,500,6790298.33792,667.536455682,9.44170428441e-05,35
ETH_TNT,"(500, 10)",2017-10-19 02:58:39,2017-11-02 16:25:22,14,500,3190288.13557,560.485685543,0.000177851886125,35
ETH_ALIS,"(500, 10)",2017-10-18 15:28:21,2017-11-02 13:19:00,14,500,308538.374237,339.509872952,0.000926135950826,35
ETH_SND,"(500, 10)",2017-10-18 15:31:52,2017-11-02 13:26:40,14,500,120011.0,465.402628089,0.00364039755092,35
ETH_DAY,"(500, 10)",2017-10-18 20:05:36,2017-11-02 10:36:06,14,500,25188.3555319,395.545349997,0.0159867880857,35
ETH_VEN,"(500, 10)",2017-10-20 11:25:03,2017-11-02 14:03:12,13,500,662734.078984,491.321042079,0.000701185357959,38
ETH_BQX,"(500, 10)",2017-10-20 09:54:57,2017-11-02 11:07:00,13,500,171819.72983,459.727946772,0.00253456849387,38
ETH_KEY,"(500, 10)",2017-10-20 16:09:28,2017-11-02 16:03:10,12,500,54911326.7299,186.390227781,3.28225525691e-06,41
ETH_BMC,"(500, 10)",2017-10-21 00:08:53,2017-11-02 10:36:51,12,500,242478.213865,503.601937054,0.00174385924243,41
ETH_CAT,"(500, 10)",2017-10-20 14:38:37,2017-11-02 12:32:02,12,500,196605.10924,434.514942749,0.00213596209378,41
ETH_EDO,"(500, 10)",2017-10-20 17:31:40,2017-11-02 10:18:12,12,500,115795.710497,1032.16443203,0.00787224842038,41
ETH_FUDD,"(500, 10)",2017-10-22 09:38:09,2017-11-02 15:37:11,11,500,3826315.52403,9.55088505919,2.35805004744e-06,45
ETH_EGOLD,"(500, 10)",2017-10-22 07:46:50,2017-11-02 10:42:38,11,500,2588506.35401,159.682606828,7.66445025766e-05,45
ETH_ADX,"(500, 10)",2017-10-21 16:35:46,2017-11-02 15:51:05,11,500,121787.5523,393.197411899,0.00306412324032,45
ETH_HVN,"(500, 10)",2017-10-23 05:52:10,2017-11-02 14:51:39,10,500,3271701.51017,394.984251234,0.000103248472322,50
ETH_BCPT,"(500, 10)",2017-10-23 08:36:49,2017-11-02 13:50:13,10,500,1892809.80959,769.641061417,0.000404791872021,50
ETH_HBT,"(500, 10)",2017-10-22 18:50:15,2017-11-02 13:25:27,10,500,1113947.66735,441.988726673,0.000412198376243,50
ETH_RVT,"(500, 10)",2017-10-22 19:02:03,2017-11-02 12:00:21,10,500,414781.730243,565.327350174,0.00125684257713,50
ETH_ACC,"(500, 10)",2017-10-23 11:46:33,2017-11-02 17:43:48,10,500,37434.0730297,38.6617884454,0.000909686789791,50
ETH_VIBE,"(500, 10)",2017-10-23 20:36:39,2017-11-02 15:55:41,9,500,4152897.32573,332.763872186,7.58572196516e-05,55
ETH_DNT,"(500, 10)",2017-10-24 02:23:30,2017-11-02 10:09:18,9,500,2223412.32815,423.634981884,0.000164427232266,55
ETH_REAL,"(500, 10)",2017-10-24 11:27:33,2017-11-02 14:27:43,9,500,266220.346561,296.959465961,0.00107160595153,55
ETH_AIR,"(500, 10)",2017-10-25 15:28:51,2017-11-02 16:38:39,8,500,21956009.3817,538.167675979,2.22626971163e-05,62
ETH_AST,"(500, 10)",2017-10-25 12:28:27,2017-11-02 12:34:51,8,500,1130838.937,776.188255404,0.00070754373488,62
ETH_SUB,"(500, 10)",2017-10-24 20:54:45,2017-11-02 10:11:41,8,500,888981.22,382.461775924,0.000411448449165,62
ETH_EUSD,"(500, 10)",2017-10-26 11:56:10,2017-11-02 14:33:29,7,500,25531334.9581,264.787185533,7.85771679707e-06,71
ETH_ATS,"(500, 10)",2017-10-25 17:00:14,2017-11-02 16:01:19,7,500,10313588.1742,232.681113387,2.22996367641e-05,71
ETH_MTH,"(500, 10)",2017-10-26 01:37:51,2017-11-02 11:36:24,7,500,2464001.13882,529.555910884,0.000214939424903,71
ETH_LRC,"(500, 10)",2017-10-26 02:10:02,2017-11-02 10:48:22,7,500,1031551.26574,564.50735851,0.000568050769135,71
ETH_ENG,"(500, 10)",2017-10-25 14:52:53,2017-11-02 14:36:18,7,500,349631.434576,486.024906231,0.00133159115456,71
ETH_CTR,"(500, 10)",2017-10-26 13:39:59,2017-11-02 16:04:52,7,500,330498.871806,515.798185757,0.00152045891096,71
ETH_EDOGE,"(500, 10)",2017-10-27 08:03:01,2017-11-02 15:56:18,6,500,11544038295.4,29.8283794722,2.38619158534e-09,83
ETH_XRL,"(500, 10)",2017-10-27 00:50:00,2017-11-02 14:10:10,6,500,1979136.5739,1333.44010787,0.000664881183912,83
ETH_PAY,"(500, 10)",2017-10-27 17:11:27,2017-11-02 17:33:50,6,500,88355.8488904,503.076978432,0.00570046753755,83
ETH_WTC,"(500, 10)",2017-10-27 06:37:01,2017-11-02 13:11:11,6,500,28027.3951655,579.575135618,0.0203636517217,83
ETH_0xe469,"(500, 10)",2017-10-27 14:05:37,2017-11-02 13:50:35,5,500,5066983649.0,28.9309074383,5.30805912586e-09,100
ETH_EREAL,"(500, 10)",2017-10-28 17:04:07,2017-11-02 17:36:20,5,500,7743402.63076,27.2054855083,4.53325217028e-06,100
ETH_10MT,"(500, 10)",2017-10-28 05:20:07,2017-11-02 17:50:04,5,500,1715937.84862,52.968849203,2.45383907962e-05,100
ETH_0x5046,"(500, 10)",2017-10-28 00:09:33,2017-11-02 12:48:16,5,500,1698254.83397,45.1583293867,2.05350315929e-05,100
ETH_AION,"(500, 10)",2017-10-27 15:42:40,2017-11-02 10:42:16,5,500,1028741.08713,1945.79358007,0.00184295191878,100
ETH_XNN,"(500, 10)",2017-10-27 22:55:49,2017-11-02 13:06:35,5,500,248023.309264,12.3210944638,4.63529404822e-05,100
ETH_TRX,"(500, 10)",2017-10-29 14:17:15,2017-11-02 16:01:29,4,500,40544799.7046,383.796002172,9.20315675256e-06,125
ETH_COSS,"(500, 10)",2017-10-28 15:05:33,2017-11-02 10:10:08,4,500,4063773.15609,1161.45178895,0.000280502294284,125
ETH_0xdb45,"(500, 10)",2017-10-28 23:17:16,2017-11-02 16:05:19,4,500,2970749.0,39.3096469827,1.60492616143e-05,125
ETH_CAG,"(500, 10)",2017-10-28 17:56:46,2017-11-02 15:28:48,4,500,669423.848843,502.403457126,0.000747503393633,125
ETH_KNC,"(500, 10)",2017-10-28 16:45:34,2017-11-02 11:33:36,4,500,209910.154223,701.128376872,0.00331729277629,125
ETH_HDG,"(500, 10)",2017-10-28 12:05:11,2017-11-02 11:43:59,4,500,97991.8599811,386.194414187,0.00372325449584,125
ETH_EVX,"(500, 10)",2017-10-29 11:39:40,2017-11-02 14:50:11,4,500,93764.3588,577.67988604,0.00573884237825,125
ETH_KIN,"(500, 10)",2017-10-30 04:36:08,2017-11-02 16:28:35,3,500,2424185319.75,390.591390073,1.6157314216e-07,166
ETH_ECASH,"(500, 10)",2017-10-29 17:31:06,2017-11-02 11:01:55,3,500,2591715.81088,102.878659439,3.93392669651e-05,166
ETH_ZRX,"(500, 10)",2017-10-29 18:27:40,2017-11-02 15:52:41,3,500,912026.879173,546.463358953,0.000600559588518,166
ETH_ETG,"(500, 10)",2017-10-29 20:37:00,2017-11-02 12:46:59,3,500,621958.0,97.236902935,0.000147736990127,166
ETH_ETHD,"(500, 10)",2017-10-29 22:14:08,2017-11-02 12:16:46,3,500,505105.755632,318.079105065,0.000657374882538,166
ETH_ELITE,"(500, 10)",2017-10-30 03:21:59,2017-11-02 14:29:57,3,500,169803.113114,162.31463566,0.00087081008221,166
ETH_ATM,"(500, 10)",2017-10-31 12:16:09,2017-11-02 17:32:53,2,500,12155770.0237,2151.80500486,0.000178478524576,250
ETH_REQ,"(500, 10)",2017-10-31 09:59:08,2017-11-02 11:16:04,2,500,5998714.40208,746.949023536,0.000126536962968,250
ETH_BTCM,"(500, 10)",2017-10-30 14:24:59,2017-11-02 14:24:29,2,500,3759530.93864,85.9386958925,2.24552560223e-05,250
ETH_IETH,"(500, 10)",2017-10-30 18:40:48,2017-11-02 15:30:07,2,500,2989993.94518,146.809648147,4.65177397161e-05,250
ETH_KICK,"(500, 10)",2017-10-30 18:11:24,2017-11-02 12:59:07,2,500,2599541.86135,347.411906325,0.000137620009192,250
ETH_BLUE,"(500, 10)",2017-10-31 01:49:24,2017-11-02 16:41:48,2,500,2452906.87489,88.5505550941,3.81835796043e-05,250
ETH_BTCR,"(500, 10)",2017-10-30 23:15:47,2017-11-02 15:13:24,2,500,1570377.24745,104.621273485,6.66482224884e-05,250
ETH_0x4dc3,"(500, 10)",2017-10-30 21:30:44,2017-11-02 16:31:18,2,500,1467670.40512,944.269961968,0.0006759606178,250
ETH_PPP,"(500, 10)",2017-10-30 21:37:12,2017-11-02 11:02:41,2,500,646591.979258,395.585320409,0.000614279251333,250
ETH_SALT,"(500, 10)",2017-10-30 17:37:30,2017-11-02 12:59:45,2,500,50017.2541352,440.392409154,0.00888855340546,250
ETH_LTG,"(500, 10)",2017-10-31 17:20:08,2017-11-02 13:26:03,1,500,7356263.0,132.563000187,2.14314441072e-05,500
ETH_EBTC,"(500, 10)",2017-10-31 20:19:33,2017-11-02 16:44:30,1,500,3149271.90153,63.1179247076,2.00220873611e-05,500
ETH_COB,"(500, 10)",2017-10-31 14:02:34,2017-11-02 12:44:23,1,500,2557185.26829,443.364686799,0.000178548037438,500
ETH_IBTC,"(500, 10)",2017-11-01 14:12:59,2017-11-02 15:48:44,1,500,2011443.98565,95.7609572651,4.76080656227e-05,500
ETH_PLR,"(500, 10)",2017-10-31 16:48:42,2017-11-02 15:22:23,1,500,1430707.26779,523.304538576,0.000372426644886,500
ETH_LINK,"(500, 10)",2017-10-31 21:29:55,2017-11-02 15:41:24,1,500,929706.370641,522.861503443,0.000597739599141,500
ETH_SCL,"(500, 10)",2017-10-31 21:40:19,2017-11-02 15:47:30,1,500,476472.114707,827.464405865,0.00172828353291,500
ETH_ITS,"(500, 10)",2017-11-01 00:15:25,2017-11-02 15:52:41,1,500,353100.447865,125.469727362,0.000355337208208,500
ETH_EOS,"(500, 10)",2017-11-01 15:02:21,2017-11-02 17:02:19,1,500,209817.948125,752.666370796,0.0035872353987,500
ETH_PPT,"(500, 10)",2017-11-01 08:20:44,2017-11-02 17:04:12,1,500,106555.383529,1278.57103548,0.0119991218945,500
ETH_POS,"(500, 10)",2017-10-31 13:34:02,2017-11-02 11:12:23,1,500,18070.0723266,55.776920757,0.00304277781622,500
ETH_VERI,"(500, 10)",2017-11-01 06:41:27,2017-11-02 15:03:33,1,500,6414.78558573,1060.79988717,0.165367941453,500
ETH_MOD,"(500, 10)",2017-11-01 18:10:02,2017-11-02 11:15:01,0,500,192257.0,873.008443525,0.00454084087198,0
